Cluster ID,confidence_score,ID,Has Duplicate,dup_of,Title,Title (Original Script),Author,Author (Original Script),Format,Language,Published/Created,Date,Description,Series,Library,Location,Call Number,Notes,Edition
11,0.872867,'99125338293406421',FALSE,,"Memories Of My Son Sergeant Joyce Kilmer, By Annie Kilburn Kilmer, With Numerous Unpublished Poems and Letters",,"Kilmer, Joyce",,Book,English,New York: Brentano's,1920,1 online resource,,,,,Published [1920]. Only unique items by Alfred Joyce Kilmer included.,
0,0.9805437,'99127149995506421',TRUE,'99100274523506421',"Mineral resources of the Joyce Kilmer-Slickrock Wilderness, North Carolina-Tennessee",,"Lesure, Frank Gardner, 1927-",,Book,English,"Washington, D.C.: United States Department of the Interior, Geological Survey; Washington: United States Government Printing Office",1977,"1 online resource (vii, 89 pages, 3 pages of plates) : illustrations, maps (some color).",Geological Survey Bulletin ; 1416; Studies related to wilderness--wilderness areas areas,,,,"""An evaluation of the mineral potential of area.""",
0,0.9805437,'99100274523506421',TRUE,'99127149995506421',"Mineral resources of the Joyce Kilmer-Slickrock Wilderness, North Carolina-Tennessee",,"Lesure, Frank Gardner, 1927-",,Book,English,"Washington, D.C.: United States Department of the Interior, Geological Survey; Washington: United States Government Printing Office",1977,"1 online resource (vii, 89 pages, 3 pages of plates) : illustrations, maps (some color).",Geological Survey bulletin ; 1416.; Studies related to wilderness--wilderness areas; Geological Survey Bulletin ; 1416; Studies related to wilderness--wilderness areas areas,,,,"""An evaluation of the mineral potential of area.""",
61,1.0,'9914956563506421',FALSE,,"Modern American poetry, a critical anthology",,"Untermeyer, Louis, 1885-1977",,Book,English,"New York: Harcourt, Brace and Company",1936,"xxv, 654 pages 24 cm",,ReCAP,Remote Storage,PS611 .U6 1936,Includes brief biographical sketches of the poets.,5th rev. ed.
114,1.0,'99125249476706421',FALSE,,Modern Essays,,"Morley, Christopher 1890-1957",,Book,English,Project Gutenberg,2011,,,,,,,
30,0.9657992,'SCSB-12049462',TRUE,'9922697223506421',Modern essays,,"Morley, Christopher, 1890-1957",,Book,English,"New York: Harcourt, Brace and company",1921,"x p., 2 l., 3-351 p. 20 cm.",,ReCAP,Remote Storage,11443.127; 11443.128,,
30,0.9657992,'9922697223506421',TRUE,'SCSB-12049462',Modern essays,,,,Book,English,"New York, N.Y.: Harcourt, Brace and Company",1921,"x, 2 leaves, 3-351 pages ; 20 cm",,Firestone Library,Stacks,PR1367 .M6,,
135,1.0,'SCSB-8194183',FALSE,,More whimsies,,"Kilmer, Annie Kilburn",,Book,English,New York: Frye Publishing Co.,1929,140 p. : ill. ; 21 cm.,,ReCAP,Remote Storage,"NBQ (Kilmer, A. K. More whimsies)",,
49,1.0,'99125411062906421',FALSE,,"North Carolina : land of water, land of sky",,"Simpson, Bland",,Book,English,Chapel Hill: The University of North Carolina Press,2021,"ix, 225 pages : color illustrations ; 28 cm",,Firestone Library,Stacks,F260 .S46 2021,,
59,1.0,'9916086183506421',FALSE,,Our poets of today,,"Cook, Howard W. (Howard Willard), 1890-",,Book,English,"New York: Moffat, Yard & Company",1918,218 pages ; 20 cm.,Modern American writers.,ReCAP,Remote Storage,PS324 .C665 1918,,
12,0.97506076,'9939318633506421',TRUE,'SCSB-12406642',Paging New Jersey : a literary guide to the Garden State,,"Broderick, James F., 1963-",,Book,English,"New Brunswick, N.J.: Rutgers University Press",2003,"vi, 217 pages : illustrations ; 24 cm",,Firestone Library,Stacks,PS253.N5 B76 2003,,
12,0.9749065,'SCSB-12406642',TRUE,'9939318633506421',Paging New Jersey : a literary guide to the Garden State,,"Broderick, James F., 1963-",,Book,English,"New Brunswick, N.J.: Rutgers University Press",2003,"vi, 217 p. : ill. ; 24 cm.",,ReCAP,Remote Storage,PS253.N5 B76 2003,,
12,0.97134256,'99125345928706421',FALSE,,Paging New Jersey a literary guide to the Garden State,,"Broderick, James F., 1963-",,Book,English,"New Brunswick, N.J.: Rutgers University Press",2003,1 online resource (229 p.),,,,,Bibliographic Level Mode of Issuance: Monograph,
79,1.0,'99125234836606421',FALSE,,Pipefuls,,"Morley, Christopher",,Book,English,Dinslaken: anboco,2016,1 online resource (142 p.),,,,,Description based upon print version of record.,
54,1.0,'9924389203506421',FALSE,,Pipefuls,,"Morley, Christopher, 1890-1957",,Book,English,"Garden City, New York: Doubleday, Page & Company",1920,"x, 274 p., 1 . illus. 20 cm.",,Special Collections,Rare Books,3866.5.372.1920,,
23,0.94986105,'SCSB-11516067',TRUE,'9915352713506421',Poems of the great war,,"Cunliffe, John William, 1865-1946",,Book,English,New York: The Macmillan Company,1916,"xx p., 1 l., 297 p. ; 20 cm.",,ReCAP,Remote Storage,11425.71; KD 46618,,
23,0.94986105,'9915352713506421',TRUE,'SCSB-11516067',Poems of the great war,,,,Book,English,New York: Macmillan,1916,"xx, 297 pages ; 20 cm",,Firestone Library,Stacks,D526.2 .C8 1916,,
115,1.0,'9982759983506421',FALSE,,Questionable practices,,"Gunn, Eileen, 1945-",,Book,English,"Easthampton, Mass: Small Beer Press",2014,276 pages ; 21 cm,,Firestone Library,Stacks,PS3607.U5477 A6 2014,,First edition.
14,0.9805437,'9938417073506421',TRUE,'SCSB-4334685',Random symmetries : the collected poems of Tom Andrews,,"Andrews, Tom, 1961-2001",,Book,English,"Oberlin, OH: Oberlin College Press",2002,"vii, 265 pages ; 23 cm.",Field poetry series ; v. 13.; Field poetry series ; 13,Firestone Library,Stacks,PS3551.N4537 R3 2002,,
14,0.9805437,'SCSB-4334685',TRUE,'9938417073506421',Random symmetries : the collected poems of Tom Andrews,,"Andrews, Tom, 1961-2001",,Book,English,"Oberlin, OH: Oberlin College Press",2002,"vii, 265 pages ; 23 cm.",Field poetry series.,ReCAP,Remote Storage,PS3551.N4537 R3 2002g,,
113,1.0,'9922749673506421',FALSE,,"Return to tradition, a directive anthology",,"Thornton, Francis Beauchesne, 1898-1963",,Book,English,Milwaukee: Bruce Pub. Co.,1948,"xxix, 926 pages 26 cm",,ReCAP,Remote Storage,3009.902,,
99,1.0,'SCSB-7733270',FALSE,,Royal banners fly,,"Kuhn, Anna, 1900-",,Book,English,Milwaukee: The Bruce Publishing Company,1941,"176 p. incl. 1 illus., ports. 21 cm.",,ReCAP,Remote Storage,"A (Kuhn, A. Royal banners fly)",,
119,1.0,'SCSB-4296978',FALSE,,Satchmo in style,,"Armstrong, Louis, 1901-1971",,Audio,English,New York: Decca,1958,"1 audio disc : analog, 33 1/3 rpm, mono ; 12 in.",,ReCAP,Remote Storage,L5498,"Jazz trumpet with choral and instrumental ensemble.; ""Sample copy - not for sale.""; Program notes by Burt Korall on container.",
118,1.0,'9922721573506421',FALSE,,"Scepticisms, notes on contemporary poetry",,"Aiken, Conrad, 1889-1973",,Book,English,New York: A.A. Knopf,1919,"3 p. ., 305, [1] p. 20 cm.",,Special Collections,Rare Books,PN1271 .A4,Reprinted in part from various periodicals.,
13,0.8830007,'99125355832906421',TRUE,'9992637283506421',"Sound wormy : memoir of Andrew Gennett, Lumberman",,"Gennett, Andrew",,Book,English,Athens [Georgia]: University of Georgia Press; ©2002,2002,"1 online resource e (xix, 218 pages, 16 unnumbered pages of plates) : illustrations",,,,,Includes index.,
13,0.8830007,'9992637283506421',TRUE,'99125355832906421',"Sound wormy : memoir of Andrew Gennett, Lumberman",,"Gennett, Andrew",,Book,English,Athens: University of Georgia Press,2002,"1 online resource (xix, 218 pages, 16 unnumbered pages of plates) : illustrations.",,,,,,
110,1.0,'99125448516306421',FALSE,,Summer of Love,,"Kilmer, Joyce 1886-1918",,Book,English,Project Gutenberg,2020,,,,,,,
7,0.8994076,'SCSB-2451472',TRUE,'9925628783506421',Summer of love,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: Baker & Taylor,1911,92 pages ; 20 cm,,ReCAP,Remote Storage,812K558 L,"First ed., advance copy.; Partly reprinted from various periodicals.; Rare Book copy: On spine: Doubleday Page & Co.",
7,0.95394564,'SCSB-8174821',TRUE,'9925628783506421',Summer of love,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: The Baker & Taylor Company,1911,"6p.ℓ.,92p. 20cm.",,ReCAP,Remote Storage,"NBI (Kilmer, J. Summer of love)",Partly reprinted from various periodicals.,
7,0.9494774,'9925628783506421',TRUE,'SCSB-2451472',Summer of love / by Joyce Kilmer,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: The Baker & Taylor Company,1911,"[6], 92 p. ; 20 cm.",,ReCAP,Remote Storage,3812.42.388,Poems.; Partly reprinted from various periodicals.,
7,0.9494774,'9937474283506421',TRUE,'9925628783506421',Summer of love / by Joyce Kilmer,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: The Baker & Taylor Company,1911,"[6], 92 p. ; 20 cm.",,Special Collections,Rare Books,Behrman American : Kilmer no. 1,"Poems.; Partly reprinted from various periodicals.; Behrman copy b: Binding: original gray-blue cloth, lettered in gilt. Second binding? Has imprint of Doubleday Page & Co. at the foot of the spine.",
7,0.9494774,'9937474213506421',TRUE,'9925628783506421',Summer of love / by Joyce Kilmer,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: The Baker & Taylor Company,1911,"[6], 92 p. ; 20 cm.",,Special Collections,Rare Books,Behrman American no. 128a; Behrman American no. 128b,"Poems.; Partly reprinted from various periodicals.; Princeton copy 1: Binding: reddish-brown cloth, blank spine; cover label. Top edges trimmed; others uncut and unopened. Perhaps a trial binding; cf. Behrman.; Princeton copy 2: Binding: original gray-blue cloth, lettered in gilt; in slipcase. First issue with imprint of Baker & Taylor at the foot of the spine; cf. Behrman.; Princeton copy 2: Presentation copy to Percy Mack from the author.",
7,0.9369529,'99125282270506421',FALSE,,Summer Of Love By Joyce Kilmer,,"Kilmer, Joyce",,Book,English,New York: The Baker & Taylor Company,1911,1 online resource,,,,,Preliminaries and introductory matter omitted; verse reproduced elsewhere in American Poetry omitted.,
